te_estimator,window_size,field_def,cmi_regimes,threshold_mode,sink_mode,thr_bot,thr_top,cooldown,max_posiciones,pnl_pct,portfolio_final,bh_pnl,alpha_bh,n_compras,n_ventas,n_trades,n_ignorados,win_rate,pos_finales,valid
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.55,48,9,64.99,1649.9,7.35,57.63,764,797,1561,33,50.9,8,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.55,96,5,82.0,1819.97,7.35,74.64,378,399,777,23,51.1,5,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.55,96,7,114.03,2140.29,7.35,106.67,381,399,780,20,52.4,7,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.55,96,9,119.96,2199.62,7.35,112.61,386,399,785,15,52.6,9,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.55,24,7,-45.88,541.15,7.35,-53.24,1503,1571,3074,68,51.4,7,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.55,24,9,-14.78,852.18,7.35,-22.14,1502,1571,3073,69,50.1,7,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.55,48,5,-60.42,395.82,7.35,-67.77,779,796,1575,19,49.4,0,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.55,48,7,44.17,1441.66,7.35,36.81,758,797,1555,39,50.2,6,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.55,0,5,-53.32,466.84,7.35,-60.67,1895,1922,3817,24622,54.3,0,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.55,0,7,-41.93,580.75,7.35,-49.28,1895,1922,3817,24622,54.3,0,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.55,0,9,-34.45,655.48,7.35,-41.81,1895,1922,3817,24622,54.3,0,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.55,24,5,-45.25,547.49,7.35,-52.61,1506,1571,3077,65,51.6,5,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.6,24,7,-42.04,579.61,7.35,-49.39,1488,1558,3046,82,51.1,6,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.6,24,9,-17.42,825.79,7.35,-24.78,1490,1558,3048,80,51.3,6,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.6,48,5,-14.46,855.36,7.35,-21.82,745,793,1538,51,52.1,5,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.6,48,7,-14.68,853.17,7.35,-22.04,756,793,1549,40,52.0,7,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.6,48,9,38.58,1385.75,7.35,31.22,761,793,1554,35,50.8,9,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.6,96,5,0.85,1008.54,7.35,-6.5,375,399,774,26,51.9,4,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.6,96,7,80.64,1806.41,7.35,73.29,378,399,777,23,50.9,6,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.6,96,9,95.77,1957.7,7.35,88.42,384,399,783,17,49.9,8,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.6,0,5,-77.0,230.03,7.35,-84.35,3425,3631,7056,20768,53.6,0,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.6,0,7,-65.02,349.85,7.35,-72.37,3434,3641,7075,20749,53.7,0,True
binning,8,analogical,2,adaptive_percentile,score_component,0.55,0.6,0,9,-55.78,442.23,7.35,-63.13,3434,3641,7075,20749,53.7,0,True
